[2026-03-26 02:19:21,259][root][INFO] - Epoch:  27 | Loss: 0.0007 | Val - MRR: 0.0376, MR: 6350.80, H@1: 0.019, H@3: 0.039, H@10: 0.070 | Test - MRR: 0.0376 | *
[2026-03-26 02:20:36,839][root][INFO] - Epoch:  28 | Loss: 0.0006 | Val - MRR: 0.0380, MR: 6231.70, H@1: 0.019, H@3: 0.038, H@10: 0.072 | Test - MRR: 0.0405 | *
[2026-03-26 02:21:52,115][root][INFO] - Epoch:  29 | Loss: 0.0007 | Val - MRR: 0.0428, MR: 5811.75, H@1: 0.021, H@3: 0.044, H@10: 0.081 | Test - MRR: 0.0430 | *
[2026-03-26 02:23:08,204][root][INFO] - Epoch:  30 | Loss: 0.0006 | Val - MRR: 0.0469, MR: 5939.06, H@1: 0.024, H@3: 0.047, H@10: 0.089 | Test - MRR: 0.0477 | *
[2026-03-26 02:24:16,184][root][INFO] - Epoch:  31 | Loss: 0.0007 | Val - MRR: 0.0450, MR: 5850.09, H@1: 0.023, H@3: 0.048, H@10: 0.086 | 
[2026-03-26 02:25:32,106][root][INFO] - Epoch:  32 | Loss: 0.0006 | Val - MRR: 0.0550, MR: 5713.47, H@1: 0.031, H@3: 0.056, H@10: 0.102 | Test - MRR: 0.0530 | *
[2026-03-26 02:26:46,767][root][INFO] - Epoch:  33 | Loss: 0.0006 | Val - MRR: 0.0668, MR: 5149.97, H@1: 0.038, H@3: 0.071, H@10: 0.120 | Test - MRR: 0.0640 | *
[2026-03-26 02:28:01,231][root][INFO] - Epoch:  34 | Loss: 0.0006 | Val - MRR: 0.0766, MR: 4899.39, H@1: 0.045, H@3: 0.080, H@10: 0.139 | Test - MRR: 0.0767 | *
[2026-03-26 02:29:18,845][root][INFO] - Epoch:  35 | Loss: 0.0006 | Val - MRR: 0.0840, MR: 5114.26, H@1: 0.050, H@3: 0.088, H@10: 0.150 | Test - MRR: 0.0785 | *
[2026-03-26 02:30:33,978][root][INFO] - Epoch:  36 | Loss: 0.0006 | Val - MRR: 0.1027, MR: 4717.37, H@1: 0.062, H@3: 0.110, H@10: 0.182 | Test - MRR: 0.0986 | *
[2026-03-26 02:31:53,296][root][INFO] - Epoch:  37 | Loss: 0.0006 | Val - MRR: 0.1145, MR: 4659.07, H@1: 0.071, H@3: 0.127, H@10: 0.198 | Test - MRR: 0.1079 | *
[2026-03-26 02:33:09,033][root][INFO] - Epoch:  38 | Loss: 0.0006 | Val - MRR: 0.1362, MR: 4610.85, H@1: 0.090, H@3: 0.148, H@10: 0.226 | Test - MRR: 0.1278 | *
